,loan_id,borrower_id,loan_date_of_release,term,LoanAmount,Downpayment,state,city,zip code,payment_frequency,maturity_date,current_days_past_due,last_due_date,last_repayment_date,amount_at_risk,borrower_credit_score,branch,branch_id,borrower_name,total_amount_paid,total_amount_expected
0,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,32 days,2021-02-27,2021-03-31,100790.3333,4,,,,100790.3333,100790.3333
1,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,4 days,2021-03-27,2021-03-31,201580.6666,4,,,,201580.6666,201580.6666
2,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,0 days,2021-04-27,2021-04-27,201580.6666,4,,,,302370.9999,302370.9999
3,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,0 days,2021-05-27,2021-05-27,201580.6666,4,,,,403161.3332,403161.3332
4,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,0 days,2021-06-27,2021-06-27,201580.6666,4,,,,503951.6665,503951.6665
5,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,4 days,2021-07-27,2021-07-31,302370.9999,4,,,,604741.9998,604741.9998
6,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,65 days,2021-08-27,2021-10-31,403161.3332,4,,,,806322.6664,705532.3330999999
7,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,34 days,2021-09-27,2021-10-31,503951.6665,4,,,,907112.9997,806322.6664
8,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,0 days,2021-10-27,2021-10-27,503951.6665,4,,,,705532.3330999999,907112.9997
9,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,0 days,2021-11-27,2021-11-27,503951.6665,4,,,,1007903.3330000001,1007903.3330000001
10,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,0 days,2021-12-27,2021-12-27,503951.6665,4,,,,1108693.6663000002,1108693.6663000002
11,32u09wekjbfje,123fd35,2021-01-27,12,1209484,124993,dfgc,12olki,19473,100790.3333,01/31/2022,0 days,2022-01-27,2022-01-27,503951.6665,4,,,,1209483.9996000002,1209483.9996000002
12,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,29 days,2021-03-02,2021-03-31,516417.9583,a,,,,516417.9583,516417.9583
13,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2021-04-02,2021-04-02,516417.9583,a,,,,1032835.9166,1032835.9166
14,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,26 days,2021-05-02,2021-05-28,1032835.9166,a,,,,1549253.8749,1549253.8749
15,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,59 days,2021-06-02,2021-07-31,1549253.8749,a,,,,2582089.7915,2065671.8332
16,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2021-07-02,2021-07-02,1549253.8749,a,,,,2065671.8332,2582089.7915
17,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2021-08-02,2021-08-02,1549253.8749,a,,,,3098507.7498,3098507.7498
18,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2021-09-02,2021-09-02,1549253.8749,a,,,,3614925.7081,3614925.7081
19,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2021-10-02,2021-10-02,1549253.8749,a,,,,4131343.6664,4131343.6664
20,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2021-11-02,2021-11-02,1549253.8749,a,,,,4647761.6247,4647761.6247
21,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2021-12-02,2021-12-02,1549253.8749,a,,,,5164179.583,5164179.583
22,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,57 days,2022-01-02,2022-02-28,2065671.8332,a,,,,6197015.4996,5680597.5413
23,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-02-02,2022-02-02,2065671.8332,a,,,,5680597.5413,6197015.4996
24,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,90 days,2022-03-02,2022-05-31,2582089.7915,a,,,,7746269.3745,6713433.4579
25,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,59 days,2022-04-02,2022-05-31,3098507.7498,a,,,,6713433.4579,7229851.4162
26,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,29 days,2022-05-02,2022-05-31,3614925.7081,a,,,,7229851.4162,7746269.3745
27,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-06-02,2022-06-02,3614925.7081,a,,,,8262687.3328,8262687.3328
28,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-07-02,2022-07-02,3614925.7081,a,,,,8779105.2911,8779105.2911
29,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-08-02,2022-08-02,3614925.7081,a,,,,9295523.2494,9295523.2494
30,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-09-02,2022-09-02,3614925.7081,a,,,,9811941.2077,9811941.2077
31,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-10-02,2022-10-02,3614925.7081,a,,,,10328359.166,10328359.166
32,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-11-02,2022-11-02,3614925.7081,a,,,,10844777.1243,10844777.1243
33,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2022-12-02,2022-12-02,3614925.7081,a,,,,11361195.0826,11361195.0826
34,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2023-01-02,2023-01-02,3614925.7081,a,,,,11877613.0409,11877613.0409
35,9190i0-nbfb,123fd36,2021-02-01,24,12394031,1000000,rtgio,89hfg,923475,516417.9583,02/29/2023,0 days,2023-02-02,2023-02-02,3614925.7081,a,,,,12394030.9992,12394030.9992
36,09u924rbwf,123fd35,2021-04-16,36,45784937,1200000,dfgc,12olki,19473,1271803.8059999999,04/30/2024,0 days,2021-05-16,2021-05-16,0.0,4,,,,1271803.8059999999,1271803.8059999999
37,09u924rbwf,123fd35,2021-04-16,36,45784937,1200000,dfgc,12olki,19473,1271803.8059999999,04/30/2024,0 days,2021-06-16,2021-06-16,0.0,4,,,,2543607.6119999997,2543607.6119999997
